sample,Rb,Sr,rbsr8786,rbsr_1sigpc,srsr8786,srsr_1sig
z54,134,478,0.811,1,0.70678,0.00010
z55,131,451,0.885,1,0.70723,0.00010
z56,127,412,0.892,1,0.70719,0.00010
z57,114,509,0.648,1,0.70692,0.00010
z58,141,462,0.883,1,0.70744,0.00010
z59,153,397,1.115,1,0.70769,0.00010
z60,138,491,0.813,1,0.70733,0.00010
z43,107,579,0.535,1,0.70673,0.00010
z16,163,380,1.241,1,0.7076,0.00010
z44,123,511,0.691,1,0.70683,0.00010
z5,146,436,0.969,1,0.70749,0.00010
z23,130,526,0.715,1,0.70701,0.00010
z6,114,578,0.571,1,0.70692,0.00010
z24,121,555,0.631,1,0.70707,0.00010
z25,114,568,0.581,1,0.70696,0.00010
z26,136,510,0.771,1,0.70736,0.00010
z7,110,688,0.463,1,0.70682,0.00010
z27,149,413,1.044,1,0.70757,0.00010
z28,127,572,0.642,1,0.70714,0.00010
