Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
49	0.88730192	0	0
62	0.27453199	0	0
381	0.43978143	4.8933458	9.9944773
63	1.2580805	0	0
46	1.0864435	0	0
233	1.8179733	4.3524041	0.99248791
257	0.68212843	4.4799538	2.4662514
172	2.0385835	0	0
290	0.53731221	4.6035066	4.273293
218	0.82736075	0	0
53	1.3546859	0	0
23	0.22375901	0	0
225	0.15564963	4.3452272	0.38735533
340	1.1284435	4.7698822	7.2120752
375	2.0207758	4.4379177	9.9809961
345	0.951222	4.7851634	7.5322623
48	1.3437619	0	0
335	2.0892744	5.1598859	6.5874686
26	0.17196381	0	0
152	1.3545303	0	0
59	0.26876986	0	0
109	0.064508587	0	0
141	0.45841205	0	0
289	1.512848	4.6010256	4.2184086
136	0.39997619	0	0
223	1.1247354	4.3343196	0.21434259
363	0.067655697	4.841907	8.7289677
242	1.9552268	4.1751471	1.7508802
249	1.821146	4.4210196	2.0269389
442	0.53341299	5.0592179	14.714844
61	1.057418	0	0
143	1.027109	0	0
264	0.82374579	4.5053921	2.8546915
367	0.46981743	4.8543272	9.0044584
481	0.93169028	5.1531711	17.969238
421	0.78068024	5.0048785	13.025713
414	1.1533009	4.9846606	12.475613
316	1.0892782	4.6932836	5.7474446
119	2.0882828	0	0
414	0.058910623	4.985044	12.47563
193	0.91167283	0	0
210	1.5788246	0	0
289	0.01990854	4.6004558	4.2185016
271	0.014067979	4.5333791	3.2370238
367	1.1748211	4.8532915	9.0042448
436	0.50940132	5.0425296	14.226789
377	0.67681086	4.8826365	9.7072544
242	0.83384824	4.4160109	1.5880737
497	1.2948619	5.1922336	19.331646
308	1.9298726	4.5370464	5.401268
79	0.95502627	0	0
366	1.0847751	4.8515825	8.9353018
225	1.7439514	4.3352952	0.36031532
275	1.9313909	4.4011145	3.5870047
170	0.44744921	0	0
92	0.84282583	0	0
298	0.76012069	4.631074	4.7171135
69	0.7979508	0	0
397	1.9002262	4.8747392	11.231363
59	0.17770682	0	0
152	1.4800813	0	0
117	1.654871	0	0
380	0.2861914	4.8918576	9.9224319
298	0.8595401	4.6331177	4.7172337
91	0.078428559	0	0
144	0.10090654	0	0
102	1.4257486	0	0
60	0.89757586	0	0
390	1.1246271	4.9189563	10.651299
380	1.562389	4.8903275	9.9223003
362	1.2929821	4.8376198	8.6606369
82	1.7021497	0	0
421	0.72151667	5.0037999	13.025839
366	0.69189095	4.8512621	8.935235
309	0.59147608	4.6696568	5.3406286
466	1.0404751	5.1192575	16.703779
193	1.960197	0	0
251	1.8384373	4.4198828	2.1495275
350	1.2100036	4.8018308	7.8577065
143	2.0229199	0	0
375	1.7554034	4.8715553	9.569418
331	1.2777153	4.741056	6.649404
207	0.41538316	0	0
193	0.16301973	0	0
384	1.3573065	4.9039698	10.211867
57	1.2208294	0	0
60	0.61802655	0	0
132	1.9589453	0	0
387	1.9393607	4.7839952	10.545105
186	1.686204	0	0
182	0.83601147	0	0
361	0.65747625	4.835916	8.5928268
476	1.2782543	5.1434841	17.546469
200	1.2106144	0	0
382	1.2276593	4.8979115	10.066349
88	2.0369225	0	0
367	1.5549215	4.8536229	9.0044384
227	0.7931087	4.3540411	0.55107164
199	0.3723779	0	0
91	1.2371606	0	0
151	1.6641824	0	0
468	1.1259234	5.1242857	16.872238
189	0.29243845	0	0
370	0.80780685	4.8612795	9.213006
345	1.9381468	4.6496229	7.6586742
25	0.99363899	0	0
229	1.932572	0	0
125	1.1181512	0	0
214	0.34686798	0	0
86	0.90889084	0	0
128	1.916115	0	0
66	1.125478	0	0
359	0.14688876	4.829977	8.4569435
101	0.14624786	0	0
476	1.5671511	5.1430721	17.546618
293	0.60865492	4.6126456	4.4390616
70	0.95437413	0	0
301	0.091477245	4.6411085	4.8855429
258	1.1597244	4.4819736	2.5224009
89	0.20616926	0	0
396	0.25577199	4.9357386	11.098247
161	1.8778317	0	0
42	1.4910085	0	0
134	0.86524838	0	0
121	0.24151319	0	0
109	2.0502586	0	0
280	0.23868071	4.5676513	3.7266269
316	0.45285136	4.692347	5.7473731
278	0.47184318	4.558568	3.6176634
291	1.5037156	4.6078186	4.3286057
65	1.1281009	0	0
85	0.21237028	0	0
326	1.1358594	4.7272129	6.3439417
329	0.4217436	4.7375817	6.5264621
115	0.78713822	0	0
181	0.052472863	0	0
464	0.8854481	5.1140299	16.536663
460	0.87306088	5.1039205	16.20167
