,lon1,lat1,lon2,lat2
0,-46.067,18.901,-46.24,18.909000000000002
1,-46.349,18.496,-46.606,18.525
2,-46.746,17.908,-46.733000000000004,17.879
3,-46.41,17.622,-46.38399999999999,17.651
4,-46.501999999999995,16.997,-46.423,16.91
5,-46.628,16.262,-46.641000000000005,16.237000000000002
6,-46.611000000000004,15.399000000000001,-44.8,15.196
7,-45.078,14.751,-45.071999999999996,14.734000000000002
8,-45.0,13.693,-44.88399999999999,13.63
9,-44.865,12.735999999999999,-44.05,12.603
10,-44.05,12.136,-43.966,12.168
11,-43.733000000000004,11.857999999999999,-43.733000000000004,11.883
12,-43.7,10.849,-40.887,10.76
13,-40.931999999999995,10.124,-40.928000000000004,10.135
14,-40.73,9.992,-40.719,9.978
15,-40.68,9.481,-40.673,9.474
16,-40.522,9.382,-40.499,9.372
17,-40.499,8.874,-39.632,8.817
18,-39.658,8.247,-38.054,8.119
19,-38.067,7.747999999999999,-36.793,7.7410000000000005
20,-36.793,7.497999999999999,-34.639,7.4270000000000005
21,-34.639,7.202999999999999,-33.889,7.164
22,-33.999,6.882000000000001,-33.835,6.81
23,-33.747,6.207000000000001,-33.32,6.188
24,-33.262,5.853,-33.022,5.7829999999999995
25,-32.815,5.268,-32.803000000000004,5.306
26,-32.55,3.9330000000000003,-31.53,3.977
27,-31.534000000000002,3.5589999999999997,-31.526,3.555
28,-31.45,3.438,-31.406,3.4360000000000004
29,-31.340999999999998,3.1519999999999997,-31.346999999999998,3.1910000000000003
30,-31.283,2.655,-31.264,2.654
31,-30.805,2.565,-30.776,2.563
32,-30.671,1.5730000000000002,-30.686,1.5230000000000001
33,-30.54,1.2930000000000001,-30.497,1.2819999999999998
34,-30.397,0.7829999999999999,-27.691,1.052
35,-27.676,0.825,-26.371,0.904
36,-26.358,0.6829999999999999,-25.489,0.787
37,-25.462,0.53,-25.065,0.57
38,-24.526999999999997,-1.149,-16.28,-0.22899999999999998
39,-16.837,0.20199999999999999,-16.239,-0.223
40,-16.015,-0.643,-16.073,-0.6890000000000001
41,-15.855,-1.544,-13.155,-0.89
42,-12.970999999999998,-1.5619999999999998,-12.994000000000002,-1.556
43,-12.919,-2.021,-12.695,-1.9980000000000002
44,-12.575,-2.296,-12.305,-2.3369999999999997
45,-12.04,-3.008,-12.299000000000001,-3.111
46,-12.058,-3.891,-12.082,-3.898
47,-12.239,-4.042,-12.264000000000001,-4.069
48,-12.374,-4.567,-12.482999999999999,-4.613
49,-12.282,-5.111000000000001,-11.564,-4.933
