SegmentName,Lat1,Lat2,Lon1,Lon2,Length,Spr.Rate,Spr.Azimuth,MeanDepth,Stdev.Depth,MinMaxDepth,PolygonWidth,MinDepth,MaxDepth,Boundary,SegmentName,dist2hp,hotspot
AARR1,-55.776,-56.304,-4.709,-4.658,58.7855,17.37,86.48,-3706,343,1068,10,-4328,-3260,AntaSoam,AARR1,482,Bouvet
AARR10,-60.796,-60.332,-19.468,-19.419,51.7427,15.67,87.59,-3980,601,1986,10,-5193,-3208,AntaSoam,AFAR10,936,Afar
AARR2,-56.32,-56.569,-4.538,-4.538,27.6431,17.2,86.43,-3301,259,801,10,-3668,-2867,AntaSoam,NA,NA,NA
AARR3,-56.579,-57.266,-6.091,-6.1,76.4485,17.03,86.53,-3334,369,1304,10,-3734,-2430,AntaSoam,AARR3,604,Bouvet
AARR4,-57.33,-57.98,-6.988,-6.979,72.2454,16.74,86.55,-4100,431,1397,10,-4942,-3546,AntaSoam,AARR4,692,Bouvet
AARR5,-58.464,-59.069,-16.067,-16.284,68.4618,16.39,87.37,-4517,223,823,10,-5123,-4301,AntaSoam,NA,NA,NA
AARR6,-59.633,-59.134,-18.441,-17.865,64.2821,16.15,87.53,-4422,465,1387,10,-5350,-3963,AntaSoam,NA,NA,NA
AARR7,-59.926,-59.637,-18.687,-18.457,34.6938,15.99,87.55,-3744,243,783,10,-4127,-3344,AntaSoam,NA,NA,NA
AARR8,-59.955,-60.21,-18.749,-18.818,28.5692,15.87,87.55,-4068,86,242,10,-4197,-3955,AntaSoam,NA,NA,NA
AARR9,-60.311,-60.222,-19.362,-18.827,31.1171,15.79,87.57,-3982,74,303,10,-4191,-3888,AntaSoam,NA,NA,NA
AFAR1,13.042,12.717,57.598,58.264,80.776,24.85,24.22,-3814,448,1668,10,-4720,-3051,AfriArab,NA,NA,NA
AFAR10,13.369,13.136,50.611,51.242,73.0289,20.64,27.03,-3260,332,1252,10,-4047,-2795,AfriArab,NA,NA,NA
AFAR11,13.342,13.206,50.255,50.566,36.8943,20.33,27.31,-3056,142,518,10,-3239,-2720,AfriArab,AFAR11,885,Afar
AFAR12,13.408,13.176,49.696,50.21,61.3179,20.05,27.58,-3055,144,545,10,-3246,-2701,AfriArab,AFAR12,841,Afar
AFAR13,13.127,13.066,49.344,49.525,20.6898,19.8,28.28,-2921,220,668,10,-3272,-2604,AfriArab,AFAR13,781,Afar
AFAR14,13.004,12.864,48.836,49.208,43.2224,19.61,28.87,-2403,172,575,10,-2753,-2179,AfriArab,AFAR14,733,Afar
AFAR15,12.78,12.543,48.087,48.569,58.6118,19.29,29.88,-2329,139,550,10,-2653,-2103,AfriArab,AFAR15,652,Afar
AFAR16,12.593,12.453,47.583,47.866,34.4837,18.98,30.62,-2408,240,761,10,-2767,-2006,AfriArab,AFAR16,587,Afar
AFAR17,12.364,12.181,46.969,47.294,40.7996,18.73,31.59,-2105,208,539,10,-2454,-1914,AfriArab,NA,NA,NA
AFAR18,12.351,12.179,46.525,46.822,37.5242,18.46,32.02,-2026,145,430,10,-2206,-1777,AfriArab,AFAR18,473,Afar
AFAR19,12.138,12.019,46.081,46.388,35.8576,18.27,32.79,-1779,214,701,10,-2198,-1498,AfriArab,NA,NA,NA
AFAR2,13.778,13.466,57.104,57.867,89.3905,24.4,23.36,-3355,408,1456,10,-3858,-2403,AfriArab,NA,NA,NA
AFAR20,11.926,12.108,43.433,46.002,280.0938,17.42,34.46,-1192,176,974,10,-1840,-865,AfriArab,AFAR20,292,Afar
AFAR21,11.767,11.842,42.003,43.254,136.38,16.32,37.38,367,560,2463,10,-1003,1460,AfriArab,AFAR21,205,Afar
AFAR22,11.211,11.841,41.672,41.248,83.8953,15.8,39.54,407,142,659,10,254,913,AfriArab,NA,NA,NA
AFAR23,11.892,12.543,41.226,40.734,89.9387,15.21,38.8,562,160,473,10,372,845,AfriArab,NA,NA,NA
AFAR24,12.558,12.919,40.681,40.424,48.9371,14.74,38.29,476,80,230,10,350,580,AfriArab,NA,NA,NA
AFAR25,13.148,14.323,40.938,40.303,147.6519,14.34,35.89,-1,154,489,10,-126,363,AfriArab,NA,NA,NA
AFAR26,14.353,15.559,40.28,39.592,153.1307,13.42,33.83,27,165,722,10,-121,601,AfriArab,NA,NA,NA
AFAR27,16.621,16.194,40.834,41.296,68.4395,13.55,28.46,-1007,209,678,10,-1389,-711,AfriArab,NA,NA,NA
AFAR28,16.621,17.6,40.897,40.318,125.0551,13.02,26.99,-1109,191,750,10,-1438,-688,AfriArab,NA,NA,NA
AFAR29,17.503,18.099,40.35,39.951,78.5507,12.5,25.43,-1224,139,485,10,-1500,-1015,AfriArab,NA,NA,NA
AFAR3,14.449,14.033,56.335,57.072,91.9305,23.79,22.75,-3374,203,940,10,-3805,-2864,AfriArab,AFAR3,1562,Afar
AFAR30,18.099,19.092,39.943,39.309,129.0601,11.92,23.45,-1346,75,322,10,-1522,-1200,AfriArab,NA,NA,NA
AFAR31,19.041,19.683,39.348,38.785,92.6588,11.34,21.4,-1767,328,1363,10,-2602,-1238,AfriArab,NA,NA,NA
AFAR32,19.764,20.769,38.621,38.081,125.1497,10.63,18.73,-1915,186,831,10,-2389,-1558,AfriArab,NA,NA,NA
AFAR33,22.487,20.777,37.815,38.158,193.334,10.09,13.52,-1810,286,1474,10,-2324,-850,AfriArab,NA,NA,NA
AFAR34,23.896,22.474,36.572,37.844,204.7365,9.35,6.96,-1598,308,1341,10,-2461,-1120,AfriArab,AFAR34,1590,Afar
AFAR35,25.338,23.937,36.147,36.535,160.6473,8.68,0.17,-1337,197,994,10,-2092,-1099,AfriArab,NA,NA,NA
AFAR36,25.354,27.445,36.129,34.399,289.4264,8.06,10.27,-1224,178,1206,10,-2232,-1026,AfriArab,AFAR36,1898,Darfur
AFAR4,14.759,14.519,55.801,56.19,49.5808,23.27,22.41,-2959,148,503,10,-3222,-2719,AfriArab,NA,NA,NA
AFAR5,14.857,14.56,55.175,55.566,53.5156,22.88,22.52,-2761,196,694,10,-3122,-2428,AfriArab,NA,NA,NA
AFAR6,14.431,14.718,54.943,54.45,61.918,22.51,22.99,-2579,282,983,10,-3102,-2118,AfriArab,NA,NA,NA
AFAR7,14.649,14.483,53.954,54.311,42.6735,22.18,23.23,-2805,90,344,10,-2994,-2650,AfriArab,NA,NA,NA
AFAR8,14.457,14.276,53.425,53.777,42.9746,21.91,23.77,-3390,118,395,10,-3595,-3199,AfriArab,AFAR8,1250,Afar
AFAR9,14.765,14.288,52.24,53.252,121.1436,21.36,23.9,-2238,656,2347,10,-3695,-1348,AfriArab,AFAR9,1172,Afar
CHIL1,-33.135,-34.552,-109.17,-109.246,157.7195,55.94,100.42,-3074,189,726,10,-3479,-2753,NazcAnta,CHIL1,765,Easter
CHIL10,-38.96,-39.831,-91.597,-91.505,97.1292,56.94,86.64,-3450,182,672,10,-3793,-3121,NazcAnta,NA,NA,NA
CHIL11,-39.923,-40.178,-91.604,-91.576,28.4458,57.05,86.68,-3753,80,255,10,-3899,-3644,NazcAnta,NA,NA,NA
CHIL12,-40.275,-41.049,-91.881,-91.838,86.1284,57.15,86.89,-3689,268,1041,10,-4358,-3318,NazcAnta,NA,NA,NA
CHIL13,-41.076,-41.225,-91.3,-91.271,16.7807,57.22,86.46,-4131,74,292,10,-4310,-4018,NazcAnta,NA,NA,NA
CHIL14,-41.183,-41.305,-90.336,-90.315,13.7362,57.24,85.72,-4301,131,575,10,-4461,-3886,NazcAnta,NA,NA,NA
CHIL15,-41.284,-41.406,-89.153,-89.124,13.8138,57.27,84.81,-4637,454,1295,10,-5193,-3899,NazcAnta,NA,NA,NA
CHIL16,-41.305,-41.454,-87.75,-87.707,16.9324,57.29,83.74,-4582,252,1135,10,-5283,-4148,NazcAnta,NA,NA,NA
CHIL17,-41.316,-41.518,-85.653,-85.589,23.072,57.32,82.13,-4488,110,440,10,-4713,-4273,NazcAnta,NA,NA,NA
