composition	temp	Q
ilmenite70	473	0.797143
ilmenite70	673	0.854286
ilmenite70	773	0.845714
ilmenite70	873	0.834286
ilmenite70	973	0.828571
ilmenite70	1023	0.802857
ilmenite70	1073	0.768571
ilmenite70	1123	0.705714
ilmenite70	1173	0.614286
ilmenite70	1198	0.545714
ilmenite70	1223	0.454286
ilmenite70	1248	0.314286
ilmenite70	1273	0
ilmenite70	1298	0
ilmenite70	1323	0
ilmenite70	1373	0
ilmenite80	293	0.9775
ilmenite80	473	0.9825
ilmenite80	673	0.99
ilmenite80	773	0.97
ilmenite80	873	0.955
ilmenite80	973	0.9375
ilmenite80	1073	0.9125
ilmenite80	1173	0.8725
ilmenite80	1273	0.7575
ilmenite80	1373	0.57
ilmenite80	1423	0.2675
ilmenite80	1448	0
ilmenite80	1473	0
ilmenite80	1498	0
ilmenite80	1523	0
ilmenite80	1548	0
ilmenite80	1573	0
ilmenite80	1598	0
ilmenite90	293	0.982222
ilmenite90	473	0.984444
ilmenite90	673	0.991111
ilmenite90	773	0.984444
ilmenite90	873	0.984444
ilmenite90	973	0.971111
ilmenite90	1073	0.957778
ilmenite90	1173	0.94
ilmenite90	1273	0.913333
ilmenite90	1373	0.868889
ilmenite90	1423	0.831111
ilmenite90	1473	0.771111
ilmenite90	1498	0.731111
ilmenite90	1523	0.68
ilmenite90	1548	0.537778
ilmenite90	1573	0.322222
ilmenite90	1598	3.31E-08
ilmenite90	1623	3.31E-08
ilmenite100	293	0.974
ilmenite100	473	0.982
ilmenite100	673	0.984
ilmenite100	773	0.982
ilmenite100	873	0.976
ilmenite100	973	0.976
ilmenite100	1073	0.976
ilmenite100	1173	0.972
ilmenite100	1273	0.964
ilmenite100	1373	0.95
ilmenite100	1473	0.9
ilmenite100	1523	0.86
ilmenite100	1573	0.794
ilmenite100	1598	0.732
