> Vatnajokull 
-17.991385 64.453224
-17.997566 64.449028
-18.002396 64.447639
-18.009520 64.445992
-18.015596 64.444511
-18.016741 64.441650
-18.022465 64.438454
-18.034069 64.439064
-18.041843 64.436516
-18.050592 64.429848
-18.048191 64.421494
-18.046055 64.417435
-18.043554 64.411949
-18.040756 64.408981
-18.025206 64.408875
-18.013044 64.406815
-18.016499 64.403061
-18.018471 64.400215
-18.011118 64.397202
-18.003448 64.397156
-17.996502 64.394409
-18.008274 64.390007
-18.012981 64.386002
-18.021790 64.388832
-18.032269 64.391350
-18.047617 64.391068
-18.068897 64.387093
-18.080042 64.382401
-18.084898 64.379753
-18.093887 64.377388
-18.093567 64.374611
-18.095734 64.371834
-18.106998 64.369392
-18.115681 64.363617
-18.126560 64.360199
-18.134354 64.356110
-18.138809 64.352730
-18.151360 64.348587
-18.159584 64.343704
-18.169474 64.338379
-18.175322 64.336624
-18.180918 64.336212
-18.186182 64.333183
-18.187744 64.329430
-18.178249 64.328835
-18.175003 64.326836
-18.176750 64.323814
-18.176651 64.320305
-18.186457 64.317406
-18.184494 64.313980
-18.184795 64.310844
-18.184475 64.307800
-18.185488 64.301697
-18.193735 64.295372
-18.188522 64.290237
-18.181221 64.285889
-18.176388 64.281906
-18.175480 64.277870
-18.188278 64.277855
-18.186764 64.273361
-18.188154 64.268341
-18.189348 64.262978
-18.186831 64.257584
-18.183752 64.250282
-18.175293 64.243774
-18.160610 64.238670
-18.149733 64.237175
-18.140280 64.236313
-18.134722 64.236092
-18.123695 64.232994
-18.110777 64.231018
-18.103701 64.233131
-18.094095 64.236824
-18.085577 64.238846
-18.081015 64.233604
-18.082401 64.229218
-18.097105 64.220871
-18.100100 64.217590
-18.099463 64.212013
-18.103508 64.208015
-18.100712 64.199280
-18.095270 64.195847
-18.083441 64.192711
-18.069513 64.190834
-18.053127 64.188667
-18.041679 64.186615
-18.032410 64.186905
-18.018444 64.186272
-18.008286 64.182793
-18.018257 64.174438
-18.027578 64.166885
-18.027002 64.160042
-18.025778 64.154121
-18.018818 64.147713
-18.017172 64.142128
-18.014784 64.134399
-18.008240 64.128075
-18.003906 64.123123
-17.998741 64.118500
-17.991514 64.114143
-17.976149 64.108109
-17.959667 64.104584
-17.944260 64.099899
-17.935553 64.097054
-17.921743 64.093628
-17.906427 64.092079
-17.890221 64.092308
-17.882372 64.093681
-17.877781 64.095619
-17.874159 64.093971
-17.873089 64.090111
-17.861956 64.086693
-17.849257 64.086418
-17.825872 64.086761
-17.810226 64.088249
-17.796455 64.089035
-17.784023 64.091972
-17.773153 64.096542
-17.762491 64.101028
-17.750080 64.107742
-17.740168 64.113571
-17.734478 64.121147
-17.729671 64.127388
-17.722692 64.131714
-17.715729 64.135689
-17.710075 64.142281
-17.707060 64.149521
-17.704988 64.154167
-17.704369 64.158546
-17.703922 64.163574
-17.714756 64.169235
-17.728836 64.171516
-17.739174 64.174744
-17.734480 64.178368
-17.724106 64.180252
-17.712683 64.182571
-17.702452 64.181404
-17.694773 64.178558
-17.687963 64.174721
-17.680506 64.171616
-17.675293 64.173080
-17.666725 64.175880
-17.662457 64.174843
-17.664326 64.170288
-17.661655 64.166039
-17.650925 64.162727
-17.639967 64.163963
-17.623314 64.168015
-17.611841 64.171227
-17.602905 64.173019
-17.587400 64.178520
-17.584694 64.183075
-17.583633 64.187630
-17.585003 64.192932
-17.576057 64.186928
-17.565701 64.184326
-17.557581 64.186127
-17.548767 64.189339
-17.542633 64.192421
-17.546484 64.197403
-17.552441 64.201500
-17.567142 64.203796
-17.565460 64.208351
-17.558371 64.209984
-17.550798 64.209106
-17.550158 64.205681
-17.549545 64.201736
-17.543579 64.197823
-17.534643 64.195572
-17.523085 64.196167
-17.510908 64.192986
-17.500206 64.192978
-17.490082 64.193680
-17.479046 64.192307
-17.468544 64.192360
-17.462658 64.194542
-17.458681 64.199356
-17.461800 64.202431
-17.470015 64.206474
-17.474054 64.211540
-17.461439 64.208801
-17.460907 64.210953
-17.458282 64.213623
-17.452087 64.213898
-17.440792 64.216919
-17.429983 64.218597
-17.430912 64.213226
-17.419891 64.214981
-17.413834 64.216454
-17.403793 64.219032
-17.383280 64.217545
-17.372974 64.214188
-17.374298 64.209267
-17.376045 64.204185
-17.365334 64.200829
-17.355307 64.199814
-17.345945 64.198006
-17.339159 64.194527
-17.340792 64.191391
-17.334887 64.190331
