time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-09T20:27:43.450Z,37.7186661,-122.5660019,8.68,2.53,md,56,106,,0.05,nc,nc73268190,2019-09-09T20:34:03.021Z,"6km WSW of San Francisco Zoo, CA",earthquake,0.19,0.51,0.14,59,automatic,nc,nc
2019-09-09T19:47:12.720Z,38.7895012,-122.7546692,0.86,2.75,md,52,42,0.01536,0.09,nc,nc73268155,2019-09-09T20:35:30.816Z,"1km N of The Geysers, CA",earthquake,0.17,0.26,0.13,34,automatic,nc,nc
2019-09-09T18:45:15.210Z,37.7196655,-122.5661697,8.37,2.51,md,58,106,,0.06,nc,nc73268125,2019-09-09T20:35:19.235Z,"6km WSW of San Francisco Zoo, CA",earthquake,0.19,0.5,0.15,56,automatic,nc,nc
2019-09-09T17:57:06.830Z,36.427,-96.9045,6.62,3.25,ml,83,70,0,0.27,ok,ok2019rryu,2019-09-09T20:05:16.058Z,"14km NW of Pawnee, Oklahoma",earthquake,,0.3,0.23,36,reviewed,ok,ok
2019-09-09T11:22:17.200Z,37.2618332,-118.6931686,9.95,2.61,md,23,79,0.138,0.06,nc,nc73267975,2019-09-09T16:16:43.685Z,"19km SSW of Round Valley, CA",earthquake,0.45,2.07,0.23,23,automatic,nc,nc
2019-09-09T08:50:43.730Z,36.0713333,-117.86,1.98,2.55,ml,34,54,0.04634,0.15,ci,ci38821015,2019-09-09T09:01:07.340Z,"8km ENE of Coso Junction, CA",earthquake,0.22,0.3,0.196,26,automatic,ci,ci
2019-09-09T05:12:31.970Z,39.2356682,-123.2085037,0.3,2.59,md,30,52,0.07789,0.16,nc,nc73267870,2019-09-09T18:48:13.524Z,"3km S of Redwood Valley, CA",earthquake,0.33,1.65,0.13,22,automatic,nc,nc
2019-09-09T03:59:34.010Z,32.1283333,-116.6906667,11.97,2.72,ml,29,147,0.2606,0.18,ci,ci38820703,2019-09-09T17:47:44.016Z,"24km ESE of Primo Tapia, B.C., MX",earthquake,0.31,2.29,0.121,70,reviewed,ci,ci
2019-09-09T01:03:00.720Z,35.6295,-116.8386667,0.33,2.8,ml,36,45,0.3281,0.19,ci,ci38820375,2019-09-09T15:37:00.383Z,"43km NNW of Fort Irwin, CA",earthquake,0.22,0.83,0.167,88,reviewed,ci,ci
2019-09-08T22:50:20.630Z,32.2121667,-115.2325,24.01,2.99,ml,24,189,0.1605,0.3,ci,ci38820207,2019-09-09T17:29:15.880Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.76,1.24,0.169,65,reviewed,ci,ci
2019-09-08T19:32:09.900Z,36.5611649,-121.1166687,2.58,2.5,md,31,65,0.05633,0.09,nc,nc73267660,2019-09-09T15:05:14.060Z,"4km NE of Pinnacles, CA",earthquake,0.23,0.67,0.15,33,automatic,nc,nc
2019-09-08T14:08:34.830Z,35.8766667,-117.7115,8.52,2.53,ml,33,52,0.08062,0.2,ci,ci38819231,2019-09-08T14:19:01.700Z,"19km ESE of Little Lake, CA",earthquake,0.25,0.74,0.131,16,automatic,ci,ci
2019-09-08T14:07:23.340Z,35.5815,-117.4133333,5.57,3.59,mw,49,37,0.04014,0.15,ci,ci38819223,2019-09-09T14:35:28.549Z,"20km S of Trona, CA",earthquake,0.14,0.35,,6,reviewed,ci,ci
2019-09-08T13:11:49.142Z,39.2253,-99.3976,5,2.9,mb_lg,,97,0.488,0.5,us,us70005den,2019-09-09T00:14:59.220Z,"8km W of Plainville, Kansas",earthquake,2.2,2,0.059,75,reviewed,us,us
